layerslayer		268.279		35.4676		11		3.22433
1stlayer		251.774		8.83581		10		0.883581
2ndlayer		254.902		12.4115		10		1.24115
3rdlayer		266.074		9.51227		10		0.951227
4thlayer		255.516		18.5862		11		1.68965
5thlayer		313.19		8.82553		13		0.678887
6thlayer		279.662		19.0063		12		1.58386
layerslayer		268.279		35.4676		11		3.22433
1stlayer		251.774		8.83581		10		0.883581
2ndlayer		254.902		12.4115		10		1.24115
3rdlayer		266.074		9.51227		10		0.951227
4thlayer		255.516		18.5862		11		1.68965
5thlayer		313.19		8.82553		13		0.678887
6thlayer		279.662		19.0063		12		1.58386
