layerslayer		265.149		104.959		13		8.07375
1stlayer		256.47		25.3841		12		2.11534
2ndlayer		252.503		17.1506		12		1.42921
3rdlayer		257.903		20.6122		12		1.71768
4thlayer		253.25		35.0241		12		2.91867
5thlayer		296.067		35.3242		14		2.52316
6thlayer		282.393		32.5102		13		2.50079
layerslayer		265.022		89.7672		12		7.4806
1stlayer		256.47		25.3841		12		2.11534
2ndlayer		252.503		17.1506		12		1.42921
3rdlayer		257.903		20.6122		12		1.71768
4thlayer		253.25		35.0241		12		2.91867
5thlayer		295.916		32.605		13		2.50808
6thlayer		282.393		32.5102		13		2.50079
layerslayer		265.022		89.7672		12		7.4806
1stlayer		256.28		19.9062		11		1.80966
2ndlayer		252.463		15.7728		11		1.4339
3rdlayer		257.789		15.454		11		1.40491
4thlayer		253.255		34.5954		11		3.14503
5thlayer		295.916		32.605		13		2.50808
6thlayer		282.45		24.3631		12		2.03026
layerslayer		265.022		89.7672		12		7.4806
1stlayer		256.28		19.9062		11		1.80966
2ndlayer		252.463		15.7728		11		1.4339
3rdlayer		257.789		15.454		11		1.40491
4thlayer		253.255		34.5954		11		3.14503
5thlayer		295.916		32.605		13		2.50808
6thlayer		282.45		24.3631		12		2.03026
layerslayer		265.585		54.7192		11		4.97448
1stlayer		256.28		19.9062		11		1.80966
2ndlayer		252.463		15.7728		11		1.4339
3rdlayer		257.789		15.454		11		1.40491
4thlayer		253.255		34.5954		11		3.14503
5thlayer		296.38		27.4705		12		2.2892
6thlayer		282.45		24.3631		12		2.03026
layerslayer		267.042		32.6852		10		3.26852
1stlayer		256.75		16.9131		10		1.69131
2ndlayer		253.38		7.60048		10		0.760048
3rdlayer		258.454		11.7051		10		1.17051
4thlayer		254.538		21.0033		10		2.10033
5thlayer		298.487		14.8793		11		1.35267
6thlayer		283.402		18.4868		11		1.68062
layerslayer		267.042		32.6852		10		3.26852
1stlayer		257.362		16.5333		9		1.83704
2ndlayer		254.425		6.52622		9		0.725135
3rdlayer		258.454		11.7051		10		1.17051
4thlayer		257.523		7.07164		9		0.785738
5thlayer		298.487		14.8793		11		1.35267
6thlayer		284.106		18.0943		10		1.80943
layerslayer		266.679		89.3549		14		6.38249
1stlayer		251.06		23.0697		12		1.92247
2ndlayer		254.777		16.4432		12		1.37026
3rdlayer		265.285		20.4705		13		1.57466
4thlayer		254.871		21.2809		13		1.63699
5thlayer		312.117		14.8423		15		0.989484
6thlayer		277.892		24.9547		14		1.78248
layerslayer		280.862		86.8886		12		7.24071
1stlayer		267.795		26.6623		12		2.22186
2ndlayer		271.255		37.4034		12		3.11695
3rdlayer		271.33		30.2953		13		2.33041
4thlayer		267.811		20.8957		12		1.74131
5thlayer		321.045		36.431		14		2.60221
6thlayer		295.778		35.9303		13		2.76387
layerslayer		267.042		32.6852		10		3.26852
1stlayer		257.362		16.5333		9		1.83704
2ndlayer		254.425		6.52622		9		0.725135
3rdlayer		258.454		11.7051		10		1.17051
4thlayer		257.523		7.07164		9		0.785738
5thlayer		298.487		14.8793		11		1.35267
6thlayer		284.106		18.0943		10		1.80943
